x,y,z,real,imag,mag
-20,-15,-15,8.83238e-34,0,7.80109e-67
-20,-12,-15,-5.56192e-33,0,3.0935e-65
-20,-9,-15,1.13841e-32,0,1.29597e-64
-20,-6,-15,-1.28735e-32,0,1.65728e-64
-20,-3,-15,5.70515e-63,0,3.25487e-125
-20,0,-15,7.19314e-63,0,5.17413e-125
-20,3,-15,-2.01041e-33,0,4.04173e-66
-20,6,-15,-2.70832e-32,0,7.33501e-64
-20,9,-15,-1.04479e-32,0,1.09159e-64
-20,12,-15,-1.50137e-32,0,2.25411e-64
-20,15,-15,-4.75353e-64,0,2.25961e-127
-20,-15,-12,-8.05035e-33,0,6.48081e-65
-20,-12,-12,4.45235e-32,0,1.98234e-63
-20,-9,-12,5.56739e-32,0,3.09958e-63
-20,-6,-12,1.16694e-31,0,1.36174e-62
-20,-3,-12,1.04358e-31,0,1.08906e-62
-20,0,-12,1.16297e-31,0,1.35251e-62
-20,3,-12,1.08073e-31,0,1.16797e-62
-20,6,-12,1.28847e-31,0,1.66014e-62
-20,9,-12,4.83842e-32,0,2.34103e-63
-20,12,-12,3.7997e-32,0,1.44377e-63
-20,15,-12,-5.03573e-33,0,2.53585e-65
-20,-15,-9,-1.4815e-32,0,2.19483e-64
-20,-12,-9,6.22633e-32,0,3.87672e-63
-20,-9,-9,1.78868e-31,0,3.19939e-62
-20,-6,-9,1.84376e-31,0,3.39946e-62
-20,-3,-9,2.89681e-31,0,8.39148e-62
-20,0,-9,2.04403e-31,0,4.17807e-62
-20,3,-9,2.7157e-31,0,7.37505e-62
-20,6,-9,1.47596e-31,0,2.17846e-62
-20,9,-9,1.56741e-31,0,2.45677e-62
-20,12,-9,6.45385e-32,0,4.16521e-63
-20,15,-9,-1.63515e-32,0,2.67371e-64
-20,-15,-6,-3.44605e-32,0,1.18753e-63
-20,-12,-6,1.20245e-31,0,1.44588e-62
-20,-9,-6,1.83788e-31,0,3.37781e-62
-20,-6,-6,3.26277e-31,0,1.06457e-61
-20,-3,-6,4.01578e-31,0,1.61265e-61
-20,0,-6,4.50407e-31,0,2.02867e-61
-20,3,-6,3.39543e-31,0,1.1529e-61
-20,6,-6,3.5069e-31,0,1.22984e-61
-20,9,-6,1.64041e-31,0,2.69094e-62
-20,12,-6,1.00688e-31,0,1.0138e-62
-20,15,-6,1.13813e-32,0,1.29533e-64
-20,-15,-3,-2.93275e-32,0,8.60104e-64
-20,-12,-3,1.38404e-31,0,1.91556e-62
-20,-9,-3,2.88936e-31,0,8.34841e-62
-20,-6,-3,3.62793e-31,0,1.31619e-61
-20,-3,-3,4.47667e-31,0,2.00405e-61
-20,0,-3,5.01543e-31,0,2.51545e-61
-20,3,-3,4.78538e-31,0,2.28999e-61
-20,6,-3,3.51138e-31,0,1.23298e-61
-20,9,-3,2.5535e-31,0,6.52034e-62
-20,12,-3,1.29e-31,0,1.6641e-62
-20,15,-3,-3.20175e-32,0,1.02512e-63
-20,-15,0,-3.43064e-32,0,1.17693e-63
-20,-12,0,5.29407e-32,0,2.80272e-63
-20,-9,0,3.20614e-31,0,1.02794e-61
-20,-6,0,4.1388e-31,0,1.71297e-61
-20,-3,0,5.30587e-31,0,2.81522e-61
-20,0,0,5.36334e-31,0,2.87654e-61
-20,3,0,5.12685e-31,0,2.62846e-61
-20,6,0,4.40076e-31,0,1.93667e-61
-20,9,0,2.34163e-31,0,5.48322e-62
-20,12,0,1.53119e-31,0,2.34456e-62
-20,15,0,-2.3874e-32,0,5.69969e-64
-20,-15,3,-2.52277e-32,0,6.36437e-64
-20,-12,3,1.64298e-31,0,2.69937e-62
-20,-9,3,1.94224e-31,0,3.77229e-62
-20,-6,3,4.82812e-31,0,2.33107e-61
-20,-3,3,4.4259e-31,0,1.95886e-61
-20,0,3,5.35828e-31,0,2.87112e-61
-20,3,3,4.89541e-31,0,2.3965e-61
-20,6,3,3.56462e-31,0,1.27065e-61
-20,9,3,2.88096e-31,0,8.29995e-62
-20,12,3,1.35456e-31,0,1.83483e-62
-20,15,3,-2.12192e-32,0,4.50253e-64
-20,-15,6,3.16017e-33,0,9.98665e-66
-20,-12,6,9.53823e-32,0,9.09778e-63
-20,-9,6,1.78711e-31,0,3.19375e-62
-20,-6,6,3.31594e-31,0,1.09954e-61
-20,-3,6,3.64118e-31,0,1.32582e-61
-20,0,6,3.53803e-31,0,1.25177e-61
-20,3,6,4.01701e-31,0,1.61363e-61
-20,6,6,3.09577e-31,0,9.58379e-62
-20,9,6,1.63463e-31,0,2.67201e-62
-20,12,6,1.14029e-31,0,1.30026e-62
-20,15,6,-1.77495e-32,0,3.15046e-64
-20,-15,9,-1.27754e-32,0,1.63212e-64
-20,-12,9,6.90582e-32,0,4.76903e-63
-20,-9,9,1.20775e-31,0,1.45866e-62
-20,-6,9,2.07697e-31,0,4.31381e-62
-20,-3,9,2.264e-31,0,5.1257e-62
-20,0,9,2.96279e-31,0,8.77811e-62
-20,3,9,2.27064e-31,0,5.15581e-62
-20,6,9,2.06135e-31,0,4.24916e-62
-20,9,9,1.60217e-31,0,2.56695e-62
-20,12,9,6.07772e-32,0,3.69387e-63
-20,15,9,-3.7817e-33,0,1.43012e-65
-20,-15,12,-4.1473e-33,0,1.72001e-65
-20,-12,12,3.5529e-32,0,1.26231e-63
-20,-9,12,7.02575e-32,0,4.93612e-63
-20,-6,12,1.13232e-31,0,1.28216e-62
-20,-3,12,1.60638e-31,0,2.58045e-62
-20,0,12,1.58233e-31,0,2.50377e-62
-20,3,12,1.33387e-31,0,1.77921e-62
-20,6,12,1.05759e-31,0,1.1185e-62
-20,9,12,5.9683e-32,0,3.56206e-63
-20,12,12,4.8793e-32,0,2.38076e-63
-20,15,12,-3.52274e-33,0,1.24097e-65
-20,-15,15,-3.1273e-33,0,9.77998e-66
-20,-12,15,-1.17848e-32,0,1.38882e-64
-20,-9,15,-1.23508e-32,0,1.52542e-64
-20,-6,15,-3.8308e-33,0,1.4675e-65
-20,-3,15,-1.65436e-32,0,2.73691e-64
