x,y,z,real,imag,mag
-20,-15,-15,1.8732e-32,1.83024e-32,6.85863e-64
-20,-12,-15,-6.21018e-31,-1.00394e-31,3.95742e-61
-20,-9,-15,-5.46231e-31,1.47162e-31,3.20025e-61
-20,-6,-15,-3.79322e-31,-1.90408e-31,1.80141e-61
-20,-3,-15,-4.24337e-31,-1.99501e-32,1.8046e-61
-20,0,-15,-4.24337e-31,-1.99501e-32,1.8046e-61
-20,3,-15,-4.38832e-31,-3.05919e-32,1.93509e-61
-20,6,-15,-3.06028e-31,-3.58488e-31,2.22167e-61
-20,9,-15,-4.49577e-31,-1.56402e-31,2.26581e-61
-20,12,-15,-5.71079e-31,-2.30089e-31,3.79073e-61
-20,15,-15,3.69067e-61,2.79552e-61,2.1436e-121
-20,-15,-12,-6.22401e-31,-1.3377e-31,4.05278e-61
-20,-12,-12,0.4,5.51799e-31,0.16
-20,-9,-12,0.4,6.12988e-31,0.16
-20,-6,-12,0.4,1.42468e-30,0.16
-20,-3,-12,0.4,1.2319e-30,0.16
-20,0,-12,0.4,1.3937e-30,0.16
-20,3,-12,0.4,1.19447e-30,0.16
-20,6,-12,0.4,1.55362e-30,0.16
-20,9,-12,0.4,6.03075e-31,0.16
-20,12,-12,0.4,4.84688e-31,0.16
-20,15,-12,-4.25835e-31,-8.47651e-32,1.88521e-61
-20,-15,-9,-4.43918e-31,-2.15525e-31,2.43514e-61
-20,-12,-9,0.4,7.65017e-31,0.16
-20,-9,-9,0.8,2.10199e-30,0.64
-20,-6,-9,0.8,2.22894e-30,0.64
-20,-3,-9,0.8,3.38503e-30,0.64
-20,0,-9,0.8,2.39193e-30,0.64
-20,3,-9,0.8,2.86546e-30,0.64
-20,6,-9,0.8,1.77017e-30,0.64
-20,9,-9,0.8,1.83774e-30,0.64
-20,12,-9,0.4,8.0582e-31,0.16
-20,15,-9,-3.92981e-31,-2.21572e-31,2.03528e-61
-20,-15,-6,-2.80996e-31,-4.59683e-31,2.90267e-61
-20,-12,-6,0.4,1.5033e-30,0.16
-20,-9,-6,0.8,2.1396e-30,0.64
-20,-6,-6,1,3.70842e-30,1
-20,-3,-6,1,4.27123e-30,1
-20,0,-6,1,5.13594e-30,1
-20,3,-6,1,3.63083e-30,1
-20,6,-6,1,3.65866e-30,1
-20,9,-6,0.8,1.88581e-30,0.64
-20,12,-6,0.4,1.22799e-30,0.16
-20,15,-6,-5.08946e-31,1.50894e-31,2.81795e-61
-20,-15,-3,-3.11454e-31,-3.72614e-31,2.35844e-61
-20,-12,-3,0.4,1.6904e-30,0.16
-20,-9,-3,0.8,3.08852e-30,0.64
-20,-6,-3,1,4.1204e-30,1
-20,-3,-3,1,5.07313e-30,1
-20,0,-3,1,5.31865e-30,1
-20,3,-3,1,5.31801e-30,1
-20,6,-3,1,3.70682e-30,1
-20,9,-3,0.8,3.06038e-30,0.64
-20,12,-3,0.4,1.60587e-30,0.16
-20,15,-3,-2.91621e-31,-4.10108e-31,2.53231e-61
-20,-15,0,-2.81685e-31,-4.31626e-31,2.65647e-61
-20,-12,0,0.4,8.71395e-31,0.16
-20,-9,0,0.8,3.39377e-30,0.64
-20,-6,0,1,4.38538e-30,1
-20,-3,0,1,5.46006e-30,1
-20,0,0,1,5.62578e-30,1
-20,3,0,1,5.51888e-30,1
-20,6,0,1,4.59309e-30,1
-20,9,0,0.8,2.83125e-30,0.64
-20,12,0,0.4,1.88002e-30,0.16
-20,15,0,-3.36675e-31,-3.01025e-31,2.03966e-61
-20,-15,3,-3.11516e-31,-3.36404e-31,2.1021e-61
-20,-12,3,0.4,1.9995e-30,0.16
-20,-9,3,0.8,2.3867e-30,0.64
-20,-6,3,1,5.11713e-30,1
-20,-3,3,1,4.65785e-30,1
-20,0,3,1,5.99103e-30,1
-20,3,3,1,5.15456e-30,1
-20,6,3,1,3.8236e-30,1
-20,9,3,0.8,3.27056e-30,0.64
-20,12,3,0.4,1.66375e-30,0.16
-20,15,3,-3.51394e-31,-2.69849e-31,1.96296e-61
-20,-15,6,-4.55131e-31,3.40238e-32,2.08302e-61
-20,-12,6,0.4,1.20563e-30,0.16
-20,-9,6,0.8,2.27846e-30,0.64
-20,-6,6,1,3.8259e-30,1
-20,-3,6,1,4.18652e-30,1
-20,0,6,1,4.07519e-30,1
-20,3,6,1,4.29292e-30,1
-20,6,6,1,3.28981e-30,1
-20,9,6,0.8,2.01841e-30,0.64
-20,12,6,0.4,1.41992e-30,0.16
-20,15,6,-3.77859e-31,-2.32797e-31,1.96972e-61
-20,-15,9,-3.77843e-31,-1.92421e-31,1.79791e-61
-20,-12,9,0.4,8.88785e-31,0.16
-20,-9,9,0.8,1.59192e-30,0.64
-20,-6,9,0.8,2.46418e-30,0.64
-20,-3,9,0.8,2.69789e-30,0.64
-20,0,9,0.8,3.29049e-30,0.64
-20,3,9,0.8,2.69818e-30,0.64
-20,6,9,0.8,2.48203e-30,0.64
-20,9,9,0.8,1.89886e-30,0.64
-20,12,9,0.4,7.9199e-31,0.16
-20,15,9,-4.26397e-31,-6.3671e-32,1.85868e-61
-20,-15,12,-7.29801e-31,-9.56847e-32,5.41765e-61
-20,-12,12,0.4,4.28044e-31,0.16
-20,-9,12,0.4,9.19888e-31,0.16
-20,-6,12,0.4,1.45262e-30,0.16
-20,-3,12,0.4,1.96088e-30,0.16
-20,0,12,0.4,1.97459e-30,0.16
-20,3,12,0.4,1.65206e-30,0.16
-20,6,12,0.4,1.34884e-30,0.16
-20,9,12,0.4,7.43966e-31,0.16
-20,12,12,0.4,5.87387e-31,0.16
-20,15,12,-5.31008e-31,-7.48185e-32,2.87567e-61
-20,-15,15,1.64067e-31,-3.64909e-32,2.82495e-62
-20,-12,15,-7.95176e-31,-2.09245e-31,6.76089e-61
-20,-9,15,-4.25466e-31,-1.88171e-31,2.1643e-61
-20,-6,15,-4.23396e-31,-6.63235e-32,1.83663e-61
-20,-3,15,-3.58683e-31,-2.23324e-31,1.78527e-61
-20,0,15,-3.93491e-31,-1.52549e-31,1.78106e-61
-20,3,15,-4.24337e-31,-1.99501e-32,1.8046e-61
-20,6,15,-4.24337e-31,-1.99501e-32,1.8046e-61
-20,9,15,-4.41239e-31,-1.99247e-31,2.34391e-61
-20,12,15,-5.53942e-31,-1.66209e-31,3.34477e-61
-20,15,15,1.6633e-31,-1.1627e-32,2.78007e-62
20,-15,-15,-2.55635e-33,3.4293e-33,1.8295e-65
20,-12,-15,-6.77476e-33,9.28046e-33,1.32024e-64
20,-9,-15,-1.66789e-32,1.92835e-32,6.50038e-64
20,-6,-15,-5.21916e-32,5.82333e-32,6.11508e-63
20,-3,-15,-3.96343e-32,4.22415e-32,3.35522e-63
20,0,-15,-5.24353e-32,5.41352e-32,5.68008e-63
20,3,-15,3.30021e-32,-3.61883e-32,2.39873e-63
20,6,-15,-5.34467e-32,6.67335e-32,7.3099e-63
20,9,-15,-8.45472e-33,1.28357e-32,2.36237e-64
20,12,-15,-3.18589e-32,4.98051e-32,3.49554e-63
20,15,-15,-1.28771e-32,2.05063e-32,5.86327e-64
